,,FCS,FCSS,DBI Apriori,DBI Best-First Search,DBI Depth-First Search,DBI Beam Search
Ionosphere,auto_encoder,0.59,0.12,4.646945864519912,5.07139943290663,5.10272545009937,2535873768269284.0
Ionosphere,PCA,0.65,0.14,5.092903665702807,5.185521419525824,5.169785869741472,7109549144236751.0
Ionosphere,SPCA,0.72,0.19,4.9624039888134295,5.5875371723275205,5.55141793938194,4439112319141247.5
Arrhythmia,auto_encoder,0.7,0.31,6.575715085479953,5.015702351061243,5.001287117070279,1.2303460544989584e+16
Arrhythmia,PCA,0.76,0.25,4.77707387770815,4.643100897562774,4.6467142997041755,6915978133844444.0
Arrhythmia,SPCA,0.71,0.31,4.938524896223589,5.275238274768371,5.299063460221316,6298307241778177.0
Indoor,auto_encoder,0.47,0.45,5.635000470097475,6.849066366332566,6.849066366332566,4612849542300015.0
Indoor,PCA,0.45,0.44,4.072173275410758,5.0631514830845825,5.0631514830845825,1802922189384185.0
Indoor,SPCA,0.46,0.46,5.0841676701133505,5.479019818730794,5.479019818730794,1582093386843846.0
Soybean,auto_encoder,0.53,0.16,5.8133243729011275,5.090836137863642,5.210344211263626,6280210323934162.0
Soybean,PCA,0.57,0.11,3.993451086710344,3.4473845526435567,3.4640262146498713,3345081845456474.0
Soybean,SPCA,0.68,0.13,4.412100454434058,4.646284538148473,4.479019730645781,2142185168356182.0
Mushroom,auto_encoder,0.63,0.25,5.662302189266029,5.995710302682607,5.995710302682607,4562502009149267.0
Mushroom,PCA,0.68,0.23,4.772992207578747,7.743433706250247,7.743433706250248,5941448269598098.0
Mushroom,SPCA,0.6,0.36,6.1212606707850705,7.891618186991569,7.891618186991569,3423399541565765.0
Adult,auto_encoder,0.24,1.0,4.75992735461136,4.8963833874485125,4.8963833874485125,6934594985254147.0
Adult,PCA,0.56,1.0,4.703116060942147,5.220910527511062,5.258863076411054,4255992239316683.0
Adult,SPCA,0.6,1.0,5.632878235104008,6.142993283922782,6.142993283922782,3609028867749203.0
